Probe ID,Infinium Design Type,Chromosome,Location (hg19),Strand,Gene Symbol,Effect,Std. Error,Z-value,P-value,FDR,Previously Seen,Small Molecules,Sign
cg08998950,II,3,"4,856,199",R,ITPR1,0.0088,0.0024,3.66,0.0003,0.0110,0,0,++++???++++?++-+
cg09305224,II,9,"139,927,245",R,C9orf139;FUT7,-0.0037,0.0010,-3.66,0.0003,0.0110,0,0,--++-+----------
cg23938300,II,15,"60,292,055",R,,0.0019,0.0005,3.66,0.0003,0.0110,0,0,+++-+---++++++++
cg02339793,II,17,"79,225,573",R,SLC38A10,0.0043,0.0012,3.66,0.0003,0.0110,0,0,+++++-+++++++-+-
cg23519969,II,3,"39,371,797",F,CCR8,-0.0038,0.0010,-3.66,0.0003,0.0110,0,0,-----------++---
cg16377609,II,7,"29,847,171",R,,-0.0044,0.0012,-3.66,0.0003,0.0110,0,0,-------------+--
cg17323027,II,17,"47,572,610",F,NGFR,0.0014,0.0004,3.66,0.0003,0.0110,0,0,++-++-+-+++++-++
cg20324858,II,1,"154,529,936",F,UBE2Q1,-0.0061,0.0017,-3.66,0.0003,0.0110,0,0,-----+-----+-+--
cg26004771,I,1,"178,456,093",R,,-0.0104,0.0028,-3.66,0.0003,0.0110,0,0,-----------+----
cg08770647,II,11,"124,768,845",R,ROBO4,0.0032,0.0009,3.66,0.0003,0.0110,0,0,++-++-++++++-+++
cg20454400,II,17,"46,720,386",F,,0.0054,0.0015,3.66,0.0003,0.0110,0,0,++++++---++++-++
cg17573933,II,17,"46,623,780",F,HOXB2,-0.0027,0.0007,-3.66,0.0003,0.0110,0,0,---+---------+--
cg01534799,II,16,"2,961,000",F,FLYWCH1,0.0041,0.0011,3.66,0.0003,0.0110,0,0,++++?-+--++?+-++
cg14140717,I,9,"140,349,944",F,NELF,-0.0012,0.0003,-3.66,0.0003,0.0110,0,0,--+-++---+------
cg15114045,I,5,"138,906,052",F,,-0.0019,0.0005,-3.66,0.0003,0.0110,0,0,-----++----?----
cg21186810,II,17,"8,023,638",R,ALOXE3,0.0012,0.0003,3.66,0.0003,0.0110,0,0,++++++++-++++---
cg01557798,II,1,"228,400,628",R,OBSCN,-0.0067,0.0018,-3.66,0.0003,0.0110,0,0,---------+--+---
cg05163071,II,3,"108,476,540",F,RETNLB,0.0072,0.0020,3.66,0.0003,0.0110,0,0,+++-+++-+++++-++
cg08874645,II,10,"73,093,425",R,SLC29A3,0.0026,0.0007,3.66,0.0003,0.0110,0,0,++++++++-++-+--+
cg27453606,II,17,"38,498,098",R,RARA,0.0051,0.0014,3.66,0.0003,0.0110,1,0,++++++++++--++++
cg15715256,II,5,"42,767,749",F,CCDC152,0.0037,0.0010,3.66,0.0003,0.0110,0,0,++++???--+++?+-+
cg18914962,II,6,"136,914,796",R,MAP3K5,-0.0050,0.0014,-3.66,0.0003,0.0110,1,0,---+-+---+-+-+--
cg12580783,II,12,"49,362,475",F,WNT10B,-0.0044,0.0012,-3.66,0.0003,0.0110,0,0,---------+-+----
cg26414257,II,4,"6,888,038",F,,0.0047,0.0013,3.65,0.0003,0.0110,0,0,+++++++++++-+-++
cg06495501,II,22,"50,523,761",R,MLC1,0.0015,0.0004,3.65,0.0003,0.0110,0,0,+++-+--+++-++-++
cg11417612,II,12,"107,779,567",R,BTBD11,0.0044,0.0012,3.65,0.0003,0.0110,1,0,++++++++-+++++-+
cg08737116,II,1,"116,563,487",F,SLC22A15,-0.0081,0.0022,-3.65,0.0003,0.0110,1,0,---+-------+---+
cg01340991,II,6,"33,397,233",R,SYNGAP1,-0.0025,0.0007,-3.65,0.0003,0.0110,1,0,---------+--+-++
cg16644366,II,16,"29,674,903",R,SPN,0.0016,0.0004,3.65,0.0003,0.0110,1,0,+++++++++++--+++
cg10077239,I,14,"30,397,686",R,PRKD1,-0.0065,0.0018,-3.65,0.0003,0.0110,0,0,--+---------+---
cg08462127,II,8,"2,017,365",R,MYOM2,0.0040,0.0011,3.65,0.0003,0.0110,0,0,++++++++++++++-+
cg09574997,II,7,"2,718,222",R,AMZ1,0.0045,0.0012,3.65,0.0003,0.0110,0,0,+++++++-+++?+---
cg22036538,II,12,"6,554,051",R,CD27;LOC678655,-0.0087,0.0024,-3.65,0.0003,0.0110,0,0,-----------+-+--
cg03153608,I,11,"64,126,457",R,RPS6KA4,-0.0007,0.0002,-3.65,0.0003,0.0111,0,0,------------++--
cg16290275,I,1,"208,042,910",F,,-0.0043,0.0012,-3.65,0.0003,0.0111,0,0,-+-+-------+----
cg14013195,II,2,"26,624,767",F,C2orf39,0.0043,0.0012,3.65,0.0003,0.0111,0,0,+++-+++-+++++-++
cg10163776,I,3,"32,433,833",F,CMTM7,-0.0009,0.0002,-3.65,0.0003,0.0111,0,0,-----+------+++-
cg13611989,II,9,"133,710,064",R,ABL1,0.0015,0.0004,3.65,0.0003,0.0111,0,0,++-++++++++++-++
cg23616212,II,1,"109,941,201",R,SORT1,0.0061,0.0017,3.65,0.0003,0.0111,1,0,+++++--+++--++++
cg24844545,II,1,"11,908,347",R,NPPA,0.0079,0.0022,3.65,0.0003,0.0111,0,0,+++++-+-+++-++++
cg06346307,II,22,"19,949,965",R,COMT,-0.0046,0.0013,-3.65,0.0003,0.0111,1,0,---------+-?----
cg15564896,II,15,"84,287,328",R,SH3GL3,-0.0064,0.0017,-3.65,0.0003,0.0111,0,0,---+-+----------
cg27038348,II,10,"48,389,841",F,RBP3,-0.0051,0.0014,-3.65,0.0003,0.0111,1,0,---+-+++-+------
cg14524643,II,9,"136,549,086",R,SARDH,-0.0054,0.0015,-3.65,0.0003,0.0111,0,0,---+-----+-?-+--
cg12030667,II,3,"48,471,659",R,PLXNB1,0.0038,0.0011,3.65,0.0003,0.0111,0,0,+++++++++-++++++
cg12150039,I,19,"35,490,532",F,GRAMD1A,-0.0069,0.0019,-3.65,0.0003,0.0111,0,0,----------+----+
cg15437741,II,17,"80,194,576",R,SLC16A3,-0.0036,0.0010,-3.65,0.0003,0.0111,1,0,---------+--++--
cg02431732,II,22,"42,907,591",R,SERHL,0.0039,0.0011,3.65,0.0003,0.0111,0,0,+++-+++-+++-++++
cg07870999,I,7,"155,260,895",R,,0.0032,0.0009,3.65,0.0003,0.0111,0,0,+++-+-+++-++++++
cg02170577,II,7,"104,939,331",R,SRPK2,-0.0041,0.0011,-3.65,0.0003,0.0111,0,0,----------++--+-
cg02856338,I,8,"101,822,108",R,,0.0031,0.0008,3.65,0.0003,0.0111,0,0,+++++++++-+-++++
cg11039729,II,10,"35,668,325",F,CCNY,0.0038,0.0010,3.65,0.0003,0.0111,0,0,+++++++++++++-++
cg24442740,I,1,"27,902,069",F,AHDC1,0.0066,0.0018,3.65,0.0003,0.0111,1,0,+++-++++--+-++++
cg24642169,II,1,"212,731,669",R,,-0.0051,0.0014,-3.65,0.0003,0.0111,0,0,-----+---+-++--+
cg23364656,II,10,"72,362,715",R,PRF1,0.0041,0.0011,3.65,0.0003,0.0111,0,0,++--+++-++++++-+
cg09656274,II,10,"133,786,923",F,BNIP3,-0.0034,0.0009,-3.65,0.0003,0.0111,0,0,-------------+--
cg03761471,II,7,"143,077,178",F,ZYX,-0.0039,0.0011,-3.65,0.0003,0.0111,0,0,-??+----??------
cg07087130,II,7,"48,129,797",R,UPP1,-0.0035,0.0010,-3.65,0.0003,0.0111,1,0,-----+-----+++-+
cg00921574,II,7,"1,513,873",F,INTS1,-0.0064,0.0017,-3.65,0.0003,0.0111,1,0,---+-----+-+----
cg12051615,I,10,"77,154,989",F,,-0.0061,0.0017,-3.65,0.0003,0.0111,0,0,---+-------+---+
cg11291773,II,3,"170,487,718",R,,-0.0038,0.0010,-3.65,0.0003,0.0111,0,0,---+-+---+-+----
cg25270844,I,19,"56,004,925",R,SSC5D,0.0052,0.0014,3.65,0.0003,0.0112,0,0,++++?+-+-++?+-++
cg24601030,II,11,"111,847,747",F,DIXDC1,-0.0047,0.0013,-3.65,0.0003,0.0112,0,0,---+-----+-+-+-+
cg24681499,II,1,"42,706,997",R,FOXJ3,0.0057,0.0016,3.65,0.0003,0.0112,0,0,+++-+-+++++-++++
cg02945646,II,14,"24,037,169",R,AP1G2,-0.0022,0.0006,-3.65,0.0003,0.0112,0,0,---+-+-+-+------
cg01433297,II,20,"4,151,816",R,SMOX,-0.0069,0.0019,-3.65,0.0003,0.0112,0,0,---------+--+---
cg22033281,II,11,"111,325,754",R,,-0.0044,0.0012,-3.65,0.0003,0.0112,0,0,-----+---+------
cg08381918,II,21,"43,221,841",F,PRDM15,-0.0074,0.0020,-3.65,0.0003,0.0112,0,0,---+------------
cg10366786,I,4,"53,578,129",F,SNORA26;KIAA0114,-0.0078,0.0021,-3.65,0.0003,0.0112,0,1,---+-+-+-------+
cg22014398,II,5,"179,230,866",F,MGAT4B,-0.0048,0.0013,-3.65,0.0003,0.0112,0,0,--------------+-
cg15672065,II,6,"32,805,142",F,TAP2,-0.0031,0.0008,-3.65,0.0003,0.0112,0,0,---+-+---+------
cg06257561,II,12,"50,445,403",F,,0.0047,0.0013,3.65,0.0003,0.0112,0,0,++-+++++++++++++
cg22705929,II,11,"57,417,974",R,YPEL4,0.0035,0.0010,3.65,0.0003,0.0112,0,0,++++++++-++++---
cg05891849,II,17,"8,736,136",F,PIK3R6,-0.0068,0.0019,-3.65,0.0003,0.0112,0,0,---+-------+----
cg05842943,II,6,"467,105",R,,-0.0045,0.0012,-3.65,0.0003,0.0112,0,0,----???-----?---
cg08396096,I,11,"60,928,446",F,VPS37C,-0.0012,0.0003,-3.65,0.0003,0.0112,0,0,-----+-----+---+
cg19628934,I,14,"77,499,391",F,,-0.0050,0.0014,-3.65,0.0003,0.0112,0,0,------------+++-
cg13705810,II,19,"17,556,074",R,,-0.0026,0.0007,-3.65,0.0003,0.0112,0,0,----?----+-?----
cg05474605,II,5,"42,812,244",R,SEPP1,0.0029,0.0008,3.65,0.0003,0.0112,0,0,++++++++-+++-+++
cg08231697,I,1,"157,165,335",F,,-0.0041,0.0011,-3.65,0.0003,0.0112,0,0,---+-+----+---++
cg00455216,II,16,"52,579,649",R,TOX3,0.0020,0.0006,3.65,0.0003,0.0112,0,0,++--+++++++-+-++
cg19071976,II,6,"32,026,656",F,TNXB,-0.0125,0.0034,-3.65,0.0003,0.0112,1,0,---------+------
cg01447748,II,1,"51,985,259",F,EPS15,-0.0113,0.0031,-3.65,0.0003,0.0112,1,0,-?-+----?+------
cg12598227,II,10,"129,041,914",F,DOCK1,0.0038,0.0010,3.65,0.0003,0.0112,0,0,++++++---+++++++
cg09142829,II,12,"8,276,482",F,CLEC4A,0.0029,0.0008,3.65,0.0003,0.0112,0,0,++-++++++++-++++
cg03211098,II,1,"32,039,682",R,,-0.0035,0.0010,-3.65,0.0003,0.0112,0,0,---------+-+----
cg20553004,II,15,"33,586,239",R,,-0.0036,0.0010,-3.65,0.0003,0.0112,0,0,---+?----+---+--
cg03047121,II,19,"41,768,080",F,HNRNPUL1,-0.0033,0.0009,-3.65,0.0003,0.0112,1,0,----?--+----++-+
cg16867657,I,6,"11,044,877",F,ELOVL2,0.0063,0.0017,3.65,0.0003,0.0112,0,0,+++-+++++-+++++-
cg23855986,II,11,"129,980,502",F,APLP2,0.0027,0.0007,3.65,0.0003,0.0112,0,0,+++++--+++--++++
cg03463994,II,2,"189,046,152",R,,0.0050,0.0014,3.65,0.0003,0.0112,0,0,++-+???++++----+
cg14290127,II,16,"30,905,768",F,BCL7C,0.0025,0.0007,3.65,0.0003,0.0112,0,0,+++-++-+-++++-++
cg00659129,II,8,"131,414,614",F,ASAP1,0.0035,0.0010,3.65,0.0003,0.0112,0,0,+++++++++++?+-+-
cg06219204,II,16,"88,299,223",R,,-0.0043,0.0012,-3.65,0.0003,0.0112,0,0,--++-+---+-+----
cg25202261,II,1,"151,668,357",F,SNX27,0.0031,0.0009,3.65,0.0003,0.0112,0,0,+++++++++++++--+
cg19148410,II,11,"111,250,352",R,POU2AF1,-0.0058,0.0016,-3.65,0.0003,0.0113,0,0,-----+---+-----+
cg02225599,I,7,"27,143,252",F,HOXA2,-0.0103,0.0028,-3.65,0.0003,0.0113,0,0,----+-----------
cg03684807,II,22,"46,457,384",F,,-0.0102,0.0028,-3.65,0.0003,0.0113,0,0,---+-------+-+-+
cg03390723,II,10,"106,028,329",R,GSTO2,-0.0039,0.0011,-3.65,0.0003,0.0113,1,0,---------+------
cg03619256,II,7,"105,515,219",R,ATXN7L1,0.0050,0.0014,3.65,0.0003,0.0113,1,0,+++++++-++++++++
cg19708901,II,1,"180,882,655",R,KIAA1614,-0.0051,0.0014,-3.65,0.0003,0.0113,0,0,-----+----+--+-+
cg22580512,II,12,"125,002,474",F,NCOR2,0.0053,0.0015,3.65,0.0003,0.0113,1,0,++++?++++++-+--+
cg21649013,II,12,"132,381,683",R,ULK1,0.0026,0.0007,3.65,0.0003,0.0113,0,0,++-++++++-+++++-
cg20091689,I,2,"97,524,862",F,ANKRD39,-0.0068,0.0019,-3.65,0.0003,0.0113,0,0,---+-------+----
cg23083424,II,10,"75,415,875",R,SYNPO2L,0.0061,0.0017,3.65,0.0003,0.0113,0,0,++-++++++++-+--+
cg01275932,II,9,"139,367,244",F,SEC16A,0.0034,0.0009,3.65,0.0003,0.0113,0,0,++++++-++++-+-+-
cg18485720,II,19,"720,740",F,PALM,0.0045,0.0012,3.65,0.0003,0.0113,0,0,++--+---++++++++
cg25225070,II,11,"9,587,743",R,,-0.0042,0.0011,-3.65,0.0003,0.0113,0,0,-----+-+--+-----
cg14429847,II,1,"239,550,578",F,,0.0048,0.0013,3.65,0.0003,0.0113,0,0,++--+++-+++++-++
cg03075534,I,1,"240,161,447",F,,0.0063,0.0017,3.65,0.0003,0.0113,0,0,+++-+--++++?+-++
cg11783264,II,19,"1,905,046",R,SCAMP4;ADAT3,-0.0038,0.0010,-3.65,0.0003,0.0113,0,0,---+---+-+-+----
cg14395060,II,22,"32,441,170",F,SLC5A1,0.0073,0.0020,3.65,0.0003,0.0113,0,0,++++++--++++++-+
cg15235306,II,21,"16,440,470",R,,-0.0038,0.0011,-3.65,0.0003,0.0113,0,0,---+---+++-+----
cg25214789,II,5,"7,850,070",F,C5orf49,0.0016,0.0004,3.65,0.0003,0.0113,0,0,+++-+-+-+++++-++
cg11410023,I,3,"96,533,511",F,EPHA6,0.0027,0.0008,3.65,0.0003,0.0113,0,0,+++-+-++-++++-++
cg08596308,II,6,"31,516,045",F,ATP6V1G2;NFKBIL1,-0.0012,0.0003,-3.65,0.0003,0.0113,0,0,------+-++------
cg02949838,II,16,"1,376,523",F,,-0.0019,0.0005,-3.65,0.0003,0.0113,0,0,---+-+---+--+-+-
cg08266712,I,14,"104,979,372",R,,0.0044,0.0012,3.65,0.0003,0.0113,0,0,+++++-++++-+-+-+
cg26328951,II,1,"28,906,514",R,SNHG12;SNORD99;SNORA61,-0.0052,0.0014,-3.65,0.0003,0.0113,0,1,-+---+---+-+----
cg09064304,I,4,"141,419,169",F,,0.0032,0.0009,3.65,0.0003,0.0113,0,0,+++-++-+++--++++
cg10705306,II,8,"37,337,009",F,,0.0083,0.0023,3.65,0.0003,0.0113,0,0,++++++++++++-+-+
cg24462476,II,5,"134,375,427",R,,0.0027,0.0007,3.65,0.0003,0.0113,0,0,++--+-+-+++++-++
cg11307417,II,3,"48,310,616",F,ZNF589,-0.0040,0.0011,-3.65,0.0003,0.0113,0,0,---------+---+++
cg11581627,II,19,"51,728,379",R,CD33,0.0017,0.0005,3.65,0.0003,0.0113,0,0,+++++++++++++-++
cg02147592,II,19,"4,090,388",R,MAP2K2,0.0046,0.0012,3.65,0.0003,0.0113,0,0,++--+-+++++?+--+
cg00971747,II,1,"200,864,307",F,C1orf106,-0.0041,0.0011,-3.65,0.0003,0.0113,0,0,---------+------
cg27228168,II,16,"54,320,674",R,IRX3,0.0021,0.0006,3.65,0.0003,0.0113,1,0,++-++--++-++++-+
cg06598386,II,12,"67,830,705",R,,0.0062,0.0017,3.65,0.0003,0.0113,0,0,++-+++++++++++-+
cg18121224,I,5,"176,559,563",R,NSD1,-0.0106,0.0029,-3.65,0.0003,0.0113,1,0,--+--------+----
cg13407883,II,19,"51,627,843",F,SIGLEC9,0.0030,0.0008,3.65,0.0003,0.0113,0,0,++-+++--+++---++
cg09133452,II,16,"848,078",R,GNG13,0.0020,0.0005,3.65,0.0003,0.0113,0,0,++-+-+++++++++-+
cg21331088,I,18,"908,290",F,ADCYAP1,0.0023,0.0006,3.65,0.0003,0.0113,0,0,++--+-+++++++-++
cg04961911,II,9,"35,079,141",F,FANCG,-0.0048,0.0013,-3.65,0.0003,0.0113,0,0,---++----+---+--
cg16508168,II,16,"31,107,370",R,VKORC1,0.0019,0.0005,3.65,0.0003,0.0113,1,0,+-+++--++++++--+
cg23902264,II,1,"241,815,413",R,WDR64,0.0050,0.0014,3.65,0.0003,0.0113,0,0,++++++-+-+-+++++
cg05310240,II,17,"47,979,069",F,,-0.0062,0.0017,-3.65,0.0003,0.0113,0,0,---------+-+-+--
cg16294152,I,5,"418,696",R,AHRR,0.0027,0.0008,3.65,0.0003,0.0113,1,0,+++++++++++?++++
cg24304617,II,1,"169,079,632",R,ATP1B1,0.0085,0.0023,3.64,0.0003,0.0114,1,0,++-++++++++--+++
cg13148151,II,3,"45,637,978",R,LIMD1,0.0047,0.0013,3.64,0.0003,0.0114,0,0,++++?++++-++?+++
cg02549628,II,4,"88,896,208",R,SPP1,0.0029,0.0008,3.64,0.0003,0.0114,0,0,+++++++++-+-+-++
cg13487312,II,11,"57,089,738",F,TNKS1BP1,-0.0063,0.0017,-3.64,0.0003,0.0114,1,0,-----+---+-+-+--
cg21324402,II,6,"31,786,808",R,,-0.0023,0.0006,-3.64,0.0003,0.0114,0,0,---------+-+-++-
cg07306253,II,15,"41,062,224",F,DNAJC17;C15orf62,0.0044,0.0012,3.64,0.0003,0.0114,0,0,+++++++++-++++++
cg19778647,II,12,"24,974,720",F,BCAT1,-0.0022,0.0006,-3.64,0.0003,0.0114,1,0,------+-++------
cg23845609,II,11,"47,609,357",R,FAM180B,0.0035,0.0010,3.64,0.0003,0.0114,0,0,++-++++++-+++-++
cg22006208,II,17,"27,309,169",F,SEZ6,0.0042,0.0011,3.64,0.0003,0.0114,0,0,++++++++-+++---+
cg04190888,II,10,"49,879,914",F,,-0.0021,0.0006,-3.64,0.0003,0.0114,0,0,-----+---+------
cg05215830,I,19,"55,549,826",F,GP6,-0.0078,0.0021,-3.64,0.0003,0.0114,0,0,--+-------------
cg02241160,II,17,"79,801,507",R,P4HB,0.0027,0.0007,3.64,0.0003,0.0114,0,0,+++++++--++++-++
cg13458609,I,9,"130,608,923",R,ENG,-0.0057,0.0016,-3.64,0.0003,0.0114,0,0,------------++--
cg12479878,I,1,"221,054,825",R,HLX,0.0018,0.0005,3.64,0.0003,0.0114,1,0,+++++---+-++++++
cg14889653,II,11,"1,297,250",R,TOLLIP,0.0058,0.0016,3.64,0.0003,0.0114,1,0,+++++-++++++++-+
cg02749735,II,3,"185,912,253",F,DGKG,0.0047,0.0013,3.64,0.0003,0.0114,0,0,+++-+-+-++++++-+
cg13500059,II,4,"38,959,511",F,,-0.0022,0.0006,-3.64,0.0003,0.0114,0,0,-------+----++--
cg06761220,II,2,"239,078,090",R,,0.0031,0.0009,3.64,0.0003,0.0114,0,0,-+++++++++++++-+
cg04313756,I,14,"96,180,842",F,TCL1A,-0.0043,0.0012,-3.64,0.0003,0.0114,0,0,--+---------+--+
cg20975182,I,1,"32,207,700",R,BAI2,-0.0052,0.0014,-3.64,0.0003,0.0114,0,0,---+-+-----+-+--
cg27012908,II,16,"22,345,154",F,POLR3E,0.0018,0.0005,3.64,0.0003,0.0115,0,0,++++?+-++++?++-+
cg18195130,II,4,"110,833,944",R,EGF,0.0025,0.0007,3.64,0.0003,0.0115,0,0,++-++++++++-+++-
cg12165223,II,8,"980,196",F,,-0.0057,0.0016,-3.64,0.0003,0.0115,0,0,------------+---
cg14170787,II,9,"112,889,386",F,AKAP2;PALM2-AKAP2,0.0047,0.0013,3.64,0.0003,0.0115,0,0,++++++++-++-++-+
cg09336320,II,5,"175,224,635",R,CPLX2,0.0029,0.0008,3.64,0.0003,0.0115,0,0,+++-+-++++++++-+
cg24924449,II,13,"98,507,990",R,,-0.0051,0.0014,-3.64,0.0003,0.0115,0,0,-----+---+-?----
cg23843812,II,8,"38,385,977",R,C8orf86,0.0024,0.0007,3.64,0.0003,0.0115,0,0,++-++-+++++++--+
cg02519286,II,12,"6,642,354",R,GAPDH,-0.0056,0.0015,-3.64,0.0003,0.0115,0,0,---+---+---+----
cg24795903,II,17,"36,999,666",R,,-0.0074,0.0020,-3.64,0.0003,0.0115,0,0,---+-+-----+----
cg14808329,I,5,"133,863,570",F,PHF15,-0.0013,0.0004,-3.64,0.0003,0.0115,1,0,---------------+
cg07748854,II,19,"36,449,875",F,,-0.0062,0.0017,-3.64,0.0003,0.0115,1,0,---+-----+-+-+--
cg03521774,II,8,"81,478,172",R,,-0.0032,0.0009,-3.64,0.0003,0.0115,0,0,-----------+--++
cg18715243,II,8,"37,658,755",R,GPR124,-0.0061,0.0017,-3.64,0.0003,0.0115,0,0,---+-----+------
cg25809066,II,19,"58,962,741",R,ZNF324B,0.0020,0.0005,3.64,0.0003,0.0115,1,0,++-+++++++++++-+
cg00465247,II,13,"50,703,477",F,,-0.0105,0.0029,-3.64,0.0003,0.0115,0,0,---+-+-----+----
cg23152216,II,12,"25,405,085",R,KRAS,0.0041,0.0011,3.64,0.0003,0.0115,0,0,+++++++-+++-++++
cg00411097,II,7,"1,596,050",R,TMEM184A,0.0045,0.0012,3.64,0.0003,0.0115,0,0,++-++++-+++-+--+
cg07359306,II,3,"52,811,297",R,ITIH1,0.0032,0.0009,3.64,0.0003,0.0115,0,0,+++++++++++-++-+
cg18036734,II,5,"177,036,766",R,B4GALT7,-0.0075,0.0020,-3.64,0.0003,0.0115,0,0,---+-------+----
cg22596049,II,17,"9,929,867",R,GAS7,-0.0027,0.0007,-3.64,0.0003,0.0115,1,0,-----+---+--+---
cg07730673,II,3,"196,438,540",R,PIGX;C3orf34,-0.0019,0.0005,-3.64,0.0003,0.0115,0,0,-------+---+----
cg20547777,II,8,"119,086,580",F,EXT1,-0.0117,0.0032,-3.64,0.0003,0.0115,1,0,---+-------+----
cg27544405,II,1,"14,108,975",R,PRDM2,0.0049,0.0014,3.64,0.0003,0.0115,0,0,++++++++-++++-++
cg11803859,II,10,"125,770,124",R,CHST15,0.0068,0.0019,3.64,0.0003,0.0115,0,0,++++++++++++--++
cg03397575,I,10,"23,633,518",F,C10orf67,-0.0012,0.0003,-3.64,0.0003,0.0116,0,0,-+---------?---+
cg07058971,II,2,"45,264",R,FAM110C,0.0050,0.0014,3.64,0.0003,0.0116,0,0,++++++++++++++++
cg16329197,II,12,"53,359,506",F,,-0.0049,0.0013,-3.64,0.0003,0.0116,0,0,---+-----+-----+
cg01672322,II,11,"65,659,772",F,FOSL1,-0.0063,0.0017,-3.64,0.0003,0.0116,0,0,-----+---+-+----
cg18171097,I,3,"169,532,134",R,,-0.0023,0.0006,-3.64,0.0003,0.0116,0,0,-----+++---?+-+-
cg13732465,II,9,"139,549,756",F,,-0.0045,0.0012,-3.64,0.0003,0.0116,0,0,----?+-------+--
cg25670685,I,13,"102,068,432",F,NALCN,0.0031,0.0009,3.64,0.0003,0.0116,0,0,+++-+--++++++-++
cg00078334,II,16,"55,513,961",F,MMP2,0.0018,0.0005,3.64,0.0003,0.0116,0,0,+++++++-+++++-++
cg19348484,II,15,"91,413,236",F,FURIN,-0.0052,0.0014,-3.64,0.0003,0.0116,1,0,--++---+--+--+--
cg19991046,II,8,"142,183,677",F,DENND3,0.0053,0.0015,3.64,0.0003,0.0116,0,0,++-+++++--+-++++
cg02288088,I,2,"119,615,605",R,,-0.0026,0.0007,-3.64,0.0003,0.0116,0,0,--+-------------
cg15754084,II,12,"7,343,020",R,PEX5,-0.0051,0.0014,-3.64,0.0003,0.0116,0,0,--+------+-+----
cg24805985,II,8,"25,045,589",F,DOCK5,-0.0029,0.0008,-3.64,0.0003,0.0116,0,0,--+--+-+-+----+-
cg26638975,II,19,"51,876,721",R,NKG7,0.0062,0.0017,3.64,0.0003,0.0116,1,0,++++++++++-+++--
cg00794400,I,1,"17,746,510",R,RCC2,-0.0042,0.0012,-3.64,0.0003,0.0116,0,0,---+-+---------+
cg17276535,II,4,"3,372,123",F,RGS12,-0.0073,0.0020,-3.64,0.0003,0.0116,1,0,-------------+++
cg12927730,II,2,"97,260,774",R,KIAA1310,0.0042,0.0012,3.64,0.0003,0.0116,0,0,+++++-+++++++-++
cg13722619,II,3,"45,188,139",R,CDCP1,0.0022,0.0006,3.64,0.0003,0.0116,0,0,+++-+-+-++++++++
cg08866794,I,6,"42,104,596",F,C6orf132,0.0051,0.0014,3.64,0.0003,0.0116,0,0,+++++++++++?+-++
cg21279955,II,1,"153,747,551",F,SLC27A3,0.0047,0.0013,3.64,0.0003,0.0116,0,0,++-++++++++-++++
cg16985778,II,1,"32,708,234",R,MTMR9L,0.0033,0.0009,3.64,0.0003,0.0116,0,0,++++++++--++++++
cg13803234,II,14,"68,830,813",R,RAD51L1,-0.0078,0.0021,-3.64,0.0003,0.0116,1,0,---+-+----++----
cg25827022,II,17,"7,287,652",F,TNK1,0.0035,0.0010,3.64,0.0003,0.0116,0,0,+++++-+++++-+--+
cg04896191,II,1,"19,579,680",F,MRTO4,-0.0035,0.0010,-3.64,0.0003,0.0116,0,0,---+-+------++--
cg02218768,II,19,"4,064,604",R,ZBTB7A,-0.0015,0.0004,-3.64,0.0003,0.0116,0,0,---+---+---++---
cg09544050,I,8,"143,580,965",R,BAI1,0.0106,0.0029,3.64,0.0003,0.0116,0,0,++++-+++++-++-++
cg04801402,II,6,"46,138,912",F,ENPP5,0.0014,0.0004,3.64,0.0003,0.0116,0,0,+++++-++++++-+++
cg10328171,II,16,"85,116,332",R,KIAA0513,0.0036,0.0010,3.64,0.0003,0.0116,0,0,+++++++++++?+-++
cg05184256,II,16,"88,155,593",R,,0.0010,0.0003,3.64,0.0003,0.0116,0,1,+++-+++-++-?++++
cg06482498,I,6,"31,802,029",F,C6orf48;SNORD48,-0.0049,0.0014,-3.64,0.0003,0.0116,1,0,---+-+-+--------
cg12395479,II,22,"24,115,466",F,MMP11,0.0028,0.0008,3.64,0.0003,0.0116,0,0,+?+-?+++?++?+-++
cg12524640,II,1,"2,983,056",R,FLJ42875,-0.0049,0.0014,-3.64,0.0003,0.0117,0,0,---------------+
cg17285931,I,2,"240,205,408",R,HDAC4,0.0051,0.0014,3.64,0.0003,0.0117,1,0,++++++++--+++-+-
cg02988775,II,1,"6,524,642",R,TNFRSF25,-0.0044,0.0012,-3.64,0.0003,0.0117,0,0,---------+-+----
cg14684457,I,7,"26,192,966",F,NFE2L3,-0.0040,0.0011,-3.64,0.0003,0.0117,1,0,----?--+----+-+-
cg11700800,II,5,"92,906,633",F,FLJ42709,0.0026,0.0007,3.64,0.0003,0.0117,0,0,+++-+++-+++-+-++
cg04328562,II,19,"11,649,701",F,CNN1,0.0065,0.0018,3.64,0.0003,0.0117,0,0,+++++++++++-+--+
cg25621991,II,5,"142,942,670",R,,0.0057,0.0016,3.64,0.0003,0.0117,0,0,++-+++++++-++---
cg09772299,II,2,"136,783,103",F,,-0.0053,0.0014,-3.64,0.0003,0.0117,0,0,--+-------+-----
cg05082965,II,14,"33,404,180",F,,0.0015,0.0004,3.64,0.0003,0.0117,0,0,+++-+-+--++-+-++
cg10690887,II,18,"19,285,051",F,ABHD3,0.0044,0.0012,3.64,0.0003,0.0117,0,0,+++-++--++++++++
